id,description,calories,protein_grams_per_hundred,carbs_grams_per_hundred,fat_grams_per_hundred
11513801,"Chocolate milk, made from light syrup with whole milk",72,3.04,8.42,2.92
11513802,"Chocolate milk, made from light syrup with reduced fat milk",63,3.1,8.63,1.78
11513803,"Chocolate milk, made from light syrup with low fat milk",57,3.13,8.87,0.95
11513804,"Chocolate milk, made from light syrup with fat free milk",49,3.18,8.61,0.19
11513805,"Chocolate milk, made from light syrup with non-dairy milk",51,1.48,8.78,1.17
11513850,"Chocolate milk, made from sugar free syrup, NS as to type of milk",50,3.28,6.04,2
11513851,"Chocolate milk, made from sugar free syrup with whole milk",58,3.23,5.87,3.05
11513852,"Chocolate milk, made from sugar free syrup with reduced fat milk",49,3.29,6.08,1.92
11513853,"Chocolate milk, made from sugar free syrup with low fat milk",43,3.32,6.32,1.08
11513854,"Chocolate milk, made from sugar free syrup with fat free milk",35,3.36,6.06,0.32
11513855,"Chocolate milk, made from sugar free syrup with non-dairy milk",37,1.66,6.22,1.31
11514100,"Hot chocolate / Cocoa, made with dry mix and water",54,0.91,11.4,0.55
11514110,"Hot chocolate / Cocoa, made with dry mix and whole milk",105,3.73,15.16,3.31
11514120,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",96,3.79,15.37,2.18
11514130,"Hot chocolate / Cocoa, made with dry mix and low fat milk",90,3.82,15.61,1.36
11514140,"Hot chocolate / Cocoa, made with dry mix and fat free milk",82,3.86,15.35,0.6
11514150,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",84,2.18,15.47,1.57
11514310,"Hot chocolate / Cocoa, made with no sugar added dry mix and water",31,1.28,5.94,0.25
11514320,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",85,4.26,10.08,3.18
11514330,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",76,4.33,10.3,1.99
11514340,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",70,4.35,10.56,1.12
11514350,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",62,4.4,10.28,0.32
11514360,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",64,2.61,10.43,1.35
11519040,"Strawberry milk, NFS",52,3.33,5.35,1.9
11519050,"Strawberry milk, whole",85,3.04,11.82,2.97
11519105,"Strawberry milk, reduced fat",71,3.15,10.71,1.8
11519200,"Strawberry milk, low fat",69,3.13,12.3,0.89
11519205,"Strawberry milk, fat free",61,3.18,12.03,0.09
11519210,"Strawberry milk, reduced sugar",50,3.31,7.08,0.94
11519215,"Strawberry milk, non-dairy",63,1.39,12.2,1.13
11526000,"Milk, malted",64,3.2,8.67,1.91
11531000,Eggnog,88,4.55,8.05,4.19
11541110,"Milk shake, home recipe, chocolate",119,3.48,13.55,6.14
11541120,"Milk shake, home recipe, flavors other than chocolate",112,3.36,11.41,5.98
11541130,"Milk shake, home recipe, chocolate, light",97,3.99,12.93,3.31
11541135,"Milk shake, home recipe, flavors other than chocolate, light",92,3.88,13.84,2.33
11541400,Milk shake with malt,124,3.77,13.66,6.11
11542100,"Milk shake, fast food, chocolate",150,3.7,20.36,6.66
11542200,"Milk shake, fast food, flavors other than chocolate",148,3.37,19.59,6.52
11543000,"Milk shake, bottled, chocolate",150,3.7,20.36,6.66
11543010,"Milk shake, bottled, flavors other than chocolate",148,3.37,19.59,6.52
11551050,Licuado or Batido,71,2.4,13.1,1.38
11553100,"Fruit smoothie, NFS",63,2.4,11.65,1.07
11553110,"Fruit smoothie, with whole fruit and dairy",63,2.4,11.66,1.07
11553120,"Fruit smoothie, with whole fruit and dairy, added protein",77,7.38,9.71,1.21
11553130,"Fruit smoothie juice drink, with dairy",65,0.86,15.05,0.14
11560000,Chocolate milk drink,49,0.64,10.68,0.4
11710000,"Infant formula, NFS",66,1.38,7.12,3.56
11710050,"Infant formula, NS as to form (Similac Expert Care Alimentum)",67,1.8,6.77,3.63
11710051,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",67,1.8,6.77,3.63
11710053,"Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)",67,1.8,6.77,3.63
11710054,"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",67,1.8,6.77,3.63
11710055,"Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)",67,1.8,6.77,3.63
11710056,"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)",67,1.8,6.77,3.63
11710350,"Infant formula, NS as to form (Similac Advance)",66,1.37,6.87,3.62
11710351,"Infant formula, ready-to-feed (Similac Advance)",66,1.37,6.87,3.62
11710352,"Infant formula, liquid concentrate, made with water, NFS (Similac Advance)",66,1.37,6.87,3.62
11710353,"Infant formula, powder, made with water, NFS (Similac Advance)",66,1.37,6.87,3.62
11710354,"Infant formula, liquid concentrate, made with tap water (Similac Advance)",66,1.37,6.87,3.62
11710355,"Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)",66,1.37,6.87,3.62
11710356,"Infant formula, liquid concentrate, made with baby water (Similac Advance)",66,1.37,6.87,3.62
11710357,"Infant formula, powder, made with tap water (Similac Advance)",66,1.37,6.87,3.62
11710358,"Infant formula, powder, made with plain bottled water (Similac Advance)",66,1.37,6.87,3.62
11710359,"Infant formula, powder, made with baby water (Similac Advance)",66,1.37,6.87,3.62
11710360,"Infant formula, NS as to form (Similac Advance Organic)",66,1.37,6.87,3.62
11710361,"Infant formula, ready-to-feed (Similac Advance Organic)",66,1.37,6.87,3.62
11710363,"Infant formula, powder, made with water, NFS (Similac Advance Organic)",66,1.37,6.87,3.62
11710367,"Infant formula, powder, made with tap water (Similac Advance Organic)",66,1.37,6.87,3.62
11710368,"Infant formula, powder, made with plain bottled water (Similac Advance Organic)",66,1.37,6.87,3.62
11710369,"Infant formula, powder, made with baby water (Similac Advance Organic)",66,1.37,6.87,3.62
11710370,"Infant formula, NS as to form (Similac Sensitive)",65,1.4,6.99,3.53
11710371,"Infant formula, ready-to-feed (Similac Sensitive)",65,1.4,6.99,3.53
11710372,"Infant formula, liquid concentrate, made with water, NFS (Similac Sensitive)",65,1.4,6.99,3.53
11710373,"Infant formula, powder, made with water, NFS (Similac Sensitive)",65,1.4,6.99,3.53
11710374,"Infant formula, liquid concentrate, made with tap water (Similac Sensitive)",65,1.4,6.99,3.53
11710375,"Infant formula, liquid concentrate, made with plain bottled water (Similac Sensitive)",65,1.4,6.99,3.53
11710376,"Infant formula, liquid concentrate, made with baby water (Similac Sensitive)",65,1.4,6.99,3.53
11710377,"Infant formula, powder, made with tap water (Similac Sensitive)",65,1.4,6.99,3.53
11710378,"Infant formula, powder, made with plain bottled water (Similac Sensitive)",65,1.4,6.99,3.53
11710379,"Infant formula, powder, made with baby water (Similac Sensitive)",65,1.4,6.99,3.53
11710380,"Infant formula, NS as to form (Similac for Spit-Up)",65,1.38,6.9,3.48
11710381,"Infant formula, ready-to-feed (Similac for Spit-Up)",65,1.38,6.9,3.48
11710383,"Infant formula, powder, made with water, NFS (Similac for Spit-Up)",65,1.38,6.9,3.48
11710470,"Infant formula, NS as to form (Similac Expert Care NeoSure)",73,2.01,7.22,3.95
11710471,"Infant formula, ready-to-feed (Similac Expert Care NeoSure)",73,2.01,7.22,3.95
11710473,"Infant formula, powder, made with water, NFS (Similac Expert Care NeoSure)",73,2.01,7.22,3.95
11710477,"Infant formula, powder, made with tap water (Similac Expert Care NeoSure)",73,2.01,7.22,3.95
11710478,"Infant formula, powder, made with plain bottled water (Similac Expert Care NeoSure)",73,2.01,7.22,3.95
11710479,"Infant formula, powder, made with baby water (Similac Expert Care NeoSure)",73,2.01,7.22,3.95
11710480,"Infant formula, NS as to form (Similac Go and Grow)",66,1.98,6.73,3.56
11710481,"Infant formula, powder, made with water, NFS (Similac Go and Grow)",66,1.98,6.73,3.56
11710620,"Infant formula, NS as to form (Enfamil Newborn)",66,1.38,7.39,3.48
11710621,"Infant formula, ready-to-feed (Enfamil Newborn)",66,1.38,7.39,3.48
11710626,"Infant formula, powder, made with water, NFS (Enfamil Newborn)",66,1.38,7.39,3.48
11710627,"Infant formula, powder, made with tap water (Enfamil Newborn)",66,1.38,7.39,3.48
11710628,"Infant formula, powder, made with plain bottled water (Enfamil Newborn)",66,1.38,7.39,3.48
11710629,"Infant formula, powder, made with baby water (Enfamil Newborn)",66,1.38,7.39,3.48
11710630,"Infant formula, NS as to form (Enfamil Infant)",66,1.4,7.38,3.49
11710631,"Infant formula, ready-to-feed (Enfamil Infant)",66,1.4,7.38,3.49
11710632,"Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)",66,1.4,7.38,3.49
11710633,"Infant formula, liquid concentrate, made with tap water (Enfamil Infant)",66,1.4,7.38,3.49
11710634,"Infant formula, liquid concentrate, made with plain bottled water (Enfamil Infant)",66,1.4,7.38,3.49
11710635,"Infant formula, liquid concentrate, made with baby water (Enfamil Infant)",66,1.4,7.38,3.49
11710636,"Infant formula, powder, made with water, NFS (Enfamil Infant)",66,1.4,7.38,3.49
11710637,"Infant formula, powder, made with tap water (Enfamil Infant)",66,1.4,7.38,3.49
11710638,"Infant formula, powder, made with plain bottled water (Enfamil Infant)",66,1.4,7.38,3.49
11710639,"Infant formula, powder, made with baby water (Enfamil Infant)",66,1.4,7.38,3.49
11710660,"Infant formula, NS as to form (Enfamil A.R.)",65,1.6,7.43,3.24
11710661,"Infant formula, ready-to-feed (Enfamil A.R.)",65,1.6,7.43,3.24
11710663,"Infant formula, powder, made with water, NFS (Enfamil A.R.)",65,1.6,7.43,3.24
11710664,"Infant formula, powder, made with tap water (Enfamil A.R.)",65,1.6,7.43,3.24
11710665,"Infant formula, NS as to form (Enfamil EnfaCare)",71,2,7.4,3.8
11710666,"Infant formula, ready-to-feed (Enfamil EnfaCare)",71,2,7.4,3.8
11710667,"Infant formula, powder, made with water, NFS (Enfamil EnfaCare)",71,2,7.4,3.8
11710668,"Infant formula, powder, made with plain bottled water (Enfamil A.R.)",65,1.6,7.43,3.24
11710669,"Infant formula, powder, made with baby water (Enfamil A.R.)",65,1.6,7.43,3.24
11710670,"Infant formula, NS as to form (Enfamil Gentlease)",67,1.53,7.25,3.49
11710671,"Infant formula, ready-to-feed (Enfamil Gentlease)",67,1.53,7.25,3.49
11710673,"Infant formula, powder, made with water, NFS (Enfamil Gentlease)",67,1.53,7.25,3.49
11710674,"Infant formula, powder, made with tap water (Enfamil EnfaCare)",71,2,7.4,3.8
11710675,"Infant formula, powder, made with plain bottled water (Enfamil EnfaCare)",71,2,7.4,3.8
11710676,"Infant formula, powder, made with baby water (Enfamil EnfaCare)",71,2,7.4,3.8
11710677,"Infant formula, powder, made with tap water (Enfamil Gentlease)",67,1.53,7.25,3.49
11710678,"Infant formula, powder, made with plain bottled water (Enfamil Gentlease)",67,1.53,7.25,3.49
11710679,"Infant formula, powder, made with baby water (Enfamil Gentlease)",67,1.53,7.25,3.49
11710680,"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions)",66,1.72,7.4,3.55
11710681,"Infant formula, ready-to-feed (Enfamil Enfragrow Toddler Transitions)",66,1.72,7.4,3.55
11710683,"Infant formula, powder, made with water, NFS (Enfamil Enfragrow Toddler Transitions)",117,3.03,13.06,6.27
11710687,"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions)",66,1.72,7.4,3.55
11710688,"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions)",66,1.72,7.4,3.55
11710689,"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions)",66,1.72,7.4,3.55
11710690,"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Gentlease)",65,1.7,6.87,3.43
11710693,"Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Gentlease)",65,1.7,6.87,3.43
11710697,"Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions Gentlease)",65,1.7,6.87,3.43
11710698,"Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)",65,1.7,6.87,3.43
11710699,"Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions Gentlease)",65,1.7,6.87,3.43
11710800,"Infant formula, NS as to form (PediaSure)",99,2.86,11.15,4.77
11710801,"Infant formula, ready-to-feed (PediaSure)",99,2.86,11.15,4.77
11710805,"Infant formula, with fiber, NS as to form (PediaSure Fiber)",99,2.8,11.28,4.7
11710806,"Infant formula, with fiber, ready-to-feed (PediaSure Fiber)",99,2.8,11.28,4.7
11710910,"Infant formula, NS as to form (Gerber Good Start Gentle)",67,1.48,7.45,3.41
11710911,"Infant formula, ready-to-feed (Gerber Good Start Gentle)",67,1.48,7.45,3.41
11710912,"Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Gentle)",67,1.48,7.45,3.41
11710913,"Infant formula, powder, made with water, NFS (Gerber Good Start Gentle)",67,1.48,7.45,3.41
11710914,"Infant formula, liquid concentrate, made with tap water (Gerber Good Start Gentle)",67,1.48,7.45,3.41
11710915,"Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Gentle)",67,1.48,7.45,3.41
11710916,"Infant formula, liquid concentrate, made with baby water (Gerber Good Start Gentle)",67,1.48,7.45,3.41
11710917,"Infant formula, powder, made with tap water (Gerber Good Start Gentle)",67,1.48,7.45,3.41
11710918,"Infant formula, powder, made with plain bottled water (Gerber Good Start Gentle)",67,1.48,7.45,3.41
11710919,"Infant formula, powder, made with baby water (Gerber Good Start Gentle)",67,1.48,7.45,3.41
11710920,"Infant formula, NS as to form (Gerber Good Start Protect)",67,1.48,7.45,3.41
11710923,"Infant formula, powder, made with water, NFS (Gerber Good Start Protect)",67,1.48,7.45,3.41
11710927,"Infant formula, powder, made with tap water (Gerber Good Start Protect)",67,1.48,7.45,3.41
11710928,"Infant formula, powder, made with plain bottled water (Gerber Good Start Protect)",67,1.48,7.45,3.41
11710929,"Infant formula, powder, made with baby water (Gerber Good Start Protect)",67,1.48,7.45,3.41
11710930,"Infant formula, NS as to form (Gerber Graduates Gentle)",64,1.41,7.46,3.28
11710940,"Infant formula, NS as to form (Gerber Graduates Protect)",64,1.41,7.46,3.28
11710960,"Infant formula, NS as to form (Store Brand)",66,1.38,7.12,3.56
11710961,"Infant formula, liquid concentrate, made with water, NFS (Store Brand)",66,1.38,7.12,3.56
11710962,"Infant formula, powder, made with water, NFS (Store Brand)",66,1.38,7.12,3.56
11710963,"Infant formula, ready-to-feed (Store Brand)",66,1.38,7.12,3.56
11710964,"Infant formula, liquid concentrate, made with tap water (Store Brand)",66,1.38,7.12,3.56
11710965,"Infant formula, liquid concentrate, made with plain bottled water (Store Brand)",66,1.38,7.12,3.56
11710966,"Infant formula, liquid concentrate, made with baby water (Store Brand)",66,1.38,7.12,3.56
11710967,"Infant formula, powder, made with tap water (Store Brand)",66,1.38,7.12,3.56
11710968,"Infant formula, powder, made with plain bottled water (Store Brand)",66,1.38,7.12,3.56
11710969,"Infant formula, powder, made with baby water (Store Brand)",66,1.38,7.12,3.56
11720310,"Infant formula, NS as to form (Enfamil ProSobee)",66,1.62,6.86,3.49
11720311,"Infant formula, ready-to-feed (Enfamil ProSobee)",66,1.62,6.86,3.49
11720312,"Infant formula, liquid concentrate, made with water, NFS (Enfamil ProSobee)",66,1.62,6.86,3.49
11720313,"Infant formula, powder, made with water, NFS (Enfamil ProSobee)",66,1.62,6.86,3.49
11720314,"Infant formula, liquid concentrate, made with tap water (Enfamil ProSobee)",66,1.62,6.86,3.49
11720315,"Infant formula, liquid concentrate, made with plain bottled water (Enfamil ProSobee)",66,1.62,6.86,3.49
11720316,"Infant formula, liquid concentrate, made with baby water (Enfamil ProSobee)",66,1.62,6.86,3.49
11720317,"Infant formula, powder, made with tap water (Enfamil ProSobee)",66,1.62,6.86,3.49
11720318,"Infant formula, powder, made with plain bottled water (Enfamil ProSobee)",66,1.62,6.86,3.49
11720319,"Infant formula, powder, made with baby water (Enfamil ProSobee)",66,1.62,6.86,3.49
11720320,"Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Soy)",62,2.07,7.4,2.77
11720323,"Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Soy)",62,2.07,7.4,2.77
11720410,"Infant formula, NS as to form (Similac Isomil Soy)",65,1.58,6.73,3.53
11720411,"Infant formula, ready-to-feed (Similac Isomil Soy)",65,1.58,6.73,3.53
11720412,"Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)",65,1.58,6.73,3.53
11720413,"Infant formula, powder, made with water, NFS (Similac Isomil Soy)",65,1.58,6.73,3.53
11720414,"Infant formula, liquid concentrate, made with tap water (Similac Isomil Soy)",65,1.58,6.73,3.53
11720415,"Infant formula, liquid concentrate, made with plain bottled water (Similac Isomil Soy)",65,1.58,6.73,3.53
